Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Completion Date,Start Date,Trial Duration,Primary Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
994,NCT04427176,Evaluation of ARFC Masks Equipped With CF5 Filter in the Care Unit to Allow a Wider Distribution of FFP2 Masks (Covid-19).,Masq-Aute,Completed,No Results Available,Nurse,Device: ARFC mask,"Evaluate the feasibility of the use of an ARFC mask by nursing staff, in terms of tolerance|Evaluate the feasibility of the use of an ARFC mask by nursing staff, in terms of compatibility with technical gestures.|Assess the acceptability of the wearing of an ARFC mask by nursing staff|To assess the minor complications of wearing the ARFC mask .",Centre Hospitalier Universitaire de Saint Etienne,All,"18 Years and older Â  (Adult, Older Adult)",,15,Other,Observational,Observational Model: Other|Time Perspective: Prospective,20CH073|2020-A00817-32,28-May-20,29-Apr-20,29,28-May-20,11-Jun-20,,29-Jun-20,"CHU Saint-Etienne, Saint-Ã‰tienne, France",,https://ClinicalTrials.gov/show/NCT04427176
995,NCT04393818,Mobile Phone Based Intervention to Protect Mental Health in Healthcare Workers at Frontline Against COVID19,PsyCovid_App,Completed,No Results Available,Mental Health Disorder|Depression|Posttraumatic Stress Disorder|Burnout|Anxiety Disorders,Behavioral: Intervention App,"Depression, anxiety and stress|Post-traumatic stress syndrome|Insomnia|Self Efficacy",FundaciÃ³ d'investigaciÃ³ SanitÃ ria de les Illes Balears|Universidad de las Islas Baleares|Hospital Miguel Servet|FundaciÃ³ Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau|Andalusian School of Public Health|Hospital Son Espases,All,"18 Years and older Â  (Adult, Older Adult)",Phase 3,560,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Supportive Care",COVID-19/06,24-Aug-20,5-May-20,111,24-Aug-20,19-May-20,,10-Sep-20,"Ignacio Ricci-Cabello, Palma De Mallorca, Balearic Islands, Spain",,https://ClinicalTrials.gov/show/NCT04393818
996,NCT04324736,"""COVID-19 and Diabetes Outcomes""",CORONADO,Completed,No Results Available,Coronavirus|Diabetes,Other: no interventional study,Assess the prevalence of severe forms among hospitalized patients with diabÃ¨tes and COVID-19|describe the clinical and biological characteristics of hospitalized subjects with diabetes and COVID-19|describe the prognosis of hospitalized subjects with diabetes and COVID-19|describe the care management of hospitalized subjects with diabetes and COVID-19,Nantes University Hospital,All,"Child, Adult, Older Adult",,5309,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,RC20_0148,31-Dec-20,10-Mar-20,296,10-Apr-20,27-Mar-20,,23-Feb-21,"CHU Nantes, Nantes, France",,https://ClinicalTrials.gov/show/NCT04324736
997,NCT04435119,Covid-19 and Vitamin D in Nursing-home,COVIT-EHPAD,Completed,No Results Available,Coronavirus,,"Number of deaths of any cause in nursing-home residents with SARS-CoV-2 infection, depending on the use of bolus vitamin D3 supplementation during or just before COVID-19|Clinical severity score of COVID19 in nursing-home residents with SARS-CoV-2 infection, depending on the use of bolus vitamin D3 supplementation during or just before COVID-19","University Hospital, Angers",All,70 Years and older Â  (Older Adult),,96,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,2020/67,15-May-20,15-Mar-20,61,15-May-20,17-Jun-20,,17-Jun-20,"Angers University Hospital, Angers, France",,https://ClinicalTrials.gov/show/NCT04435119
998,NCT04383457,Covid-19 Triage Using Camera-based AI,,Completed,No Results Available,Coronavirus Infections,Device: RIA-device (Remote Investigation and Assessment),Agreement between the new camera based method and reference standard to estimate body temperature|Agreement between the new camera based method and reference standard to estimate heart rate|Agreement between the new camera based method and reference standard to estimate blood oxygen saturation|Agreement between the new camera based method and reference standard to estimate systolic blood pressure|Agreement between the new camera based method and reference standard to estimate diastolic blood pressure|Agreement between the new camera based method and reference standard to estimate respiratory rate|Prediction of hospital admission using vital signs estimated using reference standard methods|Prediction of death using vital signs estimated using reference standard methods|Prediction of hospital admission using vital signs estimated using the new camera based method|Prediction of death using vital signs estimated using the new camera based method|Prediction of hospital admission using raw camera data|Prediction of death using raw camera data,Vastra Gotaland Region|Detectivio AB,All,"18 Years and older Â  (Adult, Older Adult)",,214,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,U1111-1251-4114,8-Oct-20,15-Jun-20,115,8-Oct-20,12-May-20,,1-Dec-20,"Ã–stra Sjukhuset, Gothenburg, Sweden",,https://ClinicalTrials.gov/show/NCT04383457
999,NCT04615741,Finding Wellness in the Pandemic,,Completed,No Results Available,"Mental Health Wellness 1|Addiction|Stress, Psychological|Covid19",Behavioral: Trauma Informed Yoga|Behavioral: Trauma Informed Psychotherapy,Changes in Tobacco Use|Changes in Alcohol Use|Changes in Drug Use|Changes in Gambling|Changes in Post-Traumatic Stress Symptoms|Changes in Depression Symptoms|Changes in Anxiety Symptoms|Changes in Eating Behaviour|Changes in Sleeping Behaviour|Changes in Physical Activity|Changes in Resilience|Changes in Self-Esteem|Changes in Loneliness|Changes in Dissociative Experiences,University of Lethbridge,Female,"18 Years to 75 Years Â  (Adult, Older Adult)",Not Applicable,187,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2020-096,20-Apr-21,9-Nov-20,162,22-Jan-21,4-Nov-20,,29-Apr-21,"University of Lethbridge, Lethbridge, Alberta, Canada",,https://ClinicalTrials.gov/show/NCT04615741
1000,NCT04354792,Asymptomatic COVID-19 Infection Among Healthcare Workers,,Completed,No Results Available,Immunologic Activity Alteration,Diagnostic Test: Serum SARs COV 2 IGg screening in health care workers,Number of IGg seropositive health care workers|Differentiation between low risk and high risk HCWs,Kasr El Aini Hospital,All,25 Years to 60 Years Â  (Adult),,500,Other,Observational,Observational Model: Cohort|Time Perspective: Cross-Sectional,N-31-2020,10-Jun-20,1-May-20,40,10-Jun-20,21-Apr-20,,17-Jun-20,"Cairo University Hospital, Cairo, Egypt",,https://ClinicalTrials.gov/show/NCT04354792
1001,NCT04389320,Antimalarial and Covid 19 in Rheumatoid Arthritis,,Completed,No Results Available,Rheumatoid Arthritis,Drug: Hydroxychloroquine,immunoglobulin mesurement,Assiut University,All,"20 Years to 70 Years Â  (Adult, Older Adult)",,60,Other,Observational,Observational Model: Cohort|Time Perspective: Cross-Sectional,covid 19 in RA,1-May-20,15-Mar-20,47,1-May-20,15-May-20,,15-May-20,"Manal Hassanien, Assiut, Yes, Egypt",,https://ClinicalTrials.gov/show/NCT04389320
1002,NCT04482205,Covid -19 Pandemic: Economic Burden on Patients Operated for Traumatic Close Fractures,,Completed,No Results Available,Economic Burden,,the effect of Covid -19 on the total costs of inpatient care|drop in the collective revenue generated in covid era,Aga Khan University,All,"Child, Adult, Older Adult",,840,Other,Observational,Observational Model: Other|Time Perspective: Retrospective,akupde,31-May-20,16-Mar-20,76,31-May-20,22-Jul-20,,22-Jul-20,"Aga Khan University Hospital, Karachi, Sindh, Pakistan",,https://ClinicalTrials.gov/show/NCT04482205
1003,NCT04448405,Covid-19 Lockdown and Deviant Sexual Fantasies,,Completed,No Results Available,Deviant Sexual Fantasies,Behavioral: Questionnaire for evaluation of confinement on deviant sexual fantasies,Impact of confinement on deviant fantasies|Intensity of deviant fantasies|Frequency of deviant fantasies|Paraphilic type impacted|Occurrence of sexual act|Access mode for deviant fantasies|Use of support during confinement|Evaluating anxiety/depression level,"University Hospital, Montpellier",All,"18 Years and older Â  (Adult, Older Adult)",,100,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,RECHMPL20_0341,30-Oct-20,18-Jun-20,134,1-Oct-20,25-Jun-20,,29-Dec-20,"Uhmontpellier, Montpellier, France",,https://ClinicalTrials.gov/show/NCT04448405
1004,NCT04320953,Non-contact Endoscopy at Covid-19 Outbreak,,Completed,No Results Available,Gastrointestinal Disease|Infectious Disease,Device: Non-contact MCE system,Technical success|Clinical success|Adverse events,Changhai Hospital,All,"18 Years to 80 Years Â  (Adult, Older Adult)",Not Applicable,5,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other,ncMCE1,9-Apr-20,16-Mar-20,24,26-Mar-20,25-Mar-20,,17-Apr-20,"Changhai Hospital, Shanghai, China",,https://ClinicalTrials.gov/show/NCT04320953
1005,NCT04368312,Psychological Impairment Due to Covid-19,,Completed,No Results Available,Psychological Distress|Quality of Life,Other: No intervention,PCL5 Questionnaire|BSI - Brief symptom inventory|PHQD|WHO - QoL BREF|STAXI|AUDIT questionnaire,"University Hospital, Essen",All,"Child, Adult, Older Adult",,100,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,TEMP553914-BO,30-Dec-20,6-May-20,238,30-Sep-20,29-Apr-20,,6-May-21,"University Hospital Essen, Essen, NRW, Germany",,https://ClinicalTrials.gov/show/NCT04368312
1006,NCT04412343,The Seniors COvid-19 Pandemic and Exercise Study,SCOPE,Completed,No Results Available,Well-Being (Psychological Flourishing)|Depression|Quality of Life|Loneliness|Physical Activity|Social Identification|Physical Health,Behavioral: Virtual Group Intervention|Behavioral: Personal Exercise Intervention,Well-Being (Psychological Flourishing)|Life Satisfaction|Stress|Depression|Resilience|Social Identification|Social and Emotional Lonliness|Chronic Illness (Physical Health)|Weekly Somatic Symptoms (Physical Health)|Leisure-time physical activity|Alcohol Habits|Physical Adherence|Affective Attitudes|Demographics,University of British Columbia|University of Victoria,All,65 Years and older Â  (Older Adult),Not Applicable,241,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention,H20-01515,5-Oct-20,23-May-20,135,5-Oct-20,2-Jun-20,,3-Nov-20,"University of British Columbia, Vancouver, British Columbia, Canada",,https://ClinicalTrials.gov/show/NCT04412343
1007,NCT04854408,Evaluation of the Effect of Coronavac Vaccine (Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2 Vaccine) on Healthcare Workers' Menstrual Patterns,,Completed,No Results Available,Covid19|Vaccine Reaction|Coronavirus|Menstrual Problem|Endometrium,Other: healthcare workers with the coronavac vaccine,Possible effects of Coronavac vaccine (severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2 vaccine) on menstrual cycle,Kanuni Sultan Suleyman Training and Research Hospital,Female,18 Years to 45 Years Â  (Adult),,300,Other,Observational,Observational Model: Other|Time Perspective: Prospective,Coronavacendometrium,9-May-21,18-Mar-21,52,7-May-21,22-Apr-21,,11-May-21,"Pinar Yalcin Bahat, Istanbul, Ä°Ì‡stanbul, Turkey",,https://ClinicalTrials.gov/show/NCT04854408
1008,NCT04395885,Sexual Function During COVID 19 Pandemic,,Completed,No Results Available,Sexual Dysfunction,Other: Electronic questionnaire,The percentage of study participants diagnosed with sexual dysfunction,Assiut University,All,18 Years to 40 Years Â  (Adult),,306,Other,Observational,Observational Model: Other|Time Perspective: Cross-Sectional,SFCOV,15-Sep-20,1-Jun-20,106,31-Aug-20,20-May-20,,6-Oct-20,"Ahmed Abbas, Assiut, Cairo, Egypt|Assiut Faculty of Medicine, Assiut, Egypt",,https://ClinicalTrials.gov/show/NCT04395885
1009,NCT04385212,Outcomes in Hospitalized Older Patients With COVID-19,,Completed,No Results Available,Coronavirus Infection|Sars-CoV2|Elderly Infection|Old Age; Debility,,To evaluate the relative contributions of comorbidities on intra-hospitalized death|To evaluate the relative contributions of functional characteristics on intra-hospitalized death|To explore specific clinical profiles that may influence COVID-19 disease outcomes in the elderly based on geriatrics syndromes,"University Hospital, Geneva",All,65 Years and older Â  (Older Adult),,230,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,2020-00819,14-Apr-20,13-Mar-20,32,14-Apr-20,12-May-20,,12-May-20,"Department of Rehabilitation and Geriatrics, Geneva, Switzerland",,https://ClinicalTrials.gov/show/NCT04385212
1010,NCT04567927,Prevalence and Risk Factors for Venous Thromboembolic Events in Critically Ill Patients With COVID-19,,Completed,No Results Available,SARS Virus,Other: Ultrasonography,Period prevalence of deep vein thrombosis (DVT),"Chiesa Alessandro Felice|Ente Ospedaliero Cantonale, Bellinzona",All,"18 Years and older Â  (Adult, Older Adult)",,80,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2020-01266,28-May-20,3-Mar-20,86,28-May-20,29-Sep-20,,29-Sep-20,"Ospedale Regionale di Bellinzona e Valli, Bellinzona, Ticino, Switzerland",,https://ClinicalTrials.gov/show/NCT04567927
1011,NCT04444557,Effect of COvid-19 on Mental Health in Syrian and Turkish Maintenance HemoDialysis Patients: COST-HD Study,COST-HD,Completed,No Results Available,Depression|Hemodialysis,Other: Beck Depression Inventory (BDI),Score of Beck Depression Inventory,Sisli Hamidiye Etfal Training and Research Hospital,All,"18 Years and older Â  (Adult, Older Adult)",,97,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,200620,1-May-20,17-Apr-20,14,1-May-20,23-Jun-20,,23-Jun-20,"Sisli Hamidiye Etfal Training and Research Hospital, Istanbul, Turkey",,https://ClinicalTrials.gov/show/NCT04444557
1012,NCT04836039,Rehabilitation Experiences of Physiotherapists in Covid-19 Outbreak,,Completed,No Results Available,Physical Therapy,Other: A questionnaire and scales.,A questionnaire created by research physiotherapists based on researches and examples in the literature.|Assessment of depression level with Center for Epidemiologic Studies Depression Scale|Assessment of anxiety level with Generalized Anxiety Disorder 7 Test|Assessment of stress level with Perceived Stress Scale,Medipol University,All,"22 Years to 65 Years Â  (Adult, Older Adult)",,400,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,E-10840098-772.02-2682,27-Feb-21,27-Jan-21,31,27-Feb-21,8-Apr-21,,8-Apr-21,"Medipol University, Istanbul, Beykoz, Turkey",,https://ClinicalTrials.gov/show/NCT04836039
1013,NCT04354272,Evaluation of Dental Emergency Treatments During COVID19 Crisis,URGDENTCOVID,Completed,No Results Available,Orofacial Pain|Orofacial Edema|Dental Trauma|Oral Infection,Other: Questionnaire,Pain score evolution measured by a 0-10 numeric scale (NS) where 0 is no pain and 10 the worst pain imaginable|Pain scores evolution 3 days and 7 days after first visit measured by a numeric scale where 0 is no pain and 10 the worst pain imaginable|welcoming quality from hospital staff|anxiety score|perception of the technical quality of the emergency treatment,Assistance Publique - HÃ´pitaux de Paris,All,"18 Years and older Â  (Adult, Older Adult)",,503,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,APHP200464,29-Jun-20,21-Apr-20,69,29-Apr-20,21-Apr-20,,2-Mar-21,"Service d'odontologie, HÃ´pital PitiÃ©-SalpÃªtriÃ¨re, Paris, France",,https://ClinicalTrials.gov/show/NCT04354272
